firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,count_web,gender,prob
Aaron,3646,2.88,91.607,3.264,2.057,0.055,0.137,292748,male,1.0
Abbas,59,0.0,71.186,3.39,25.424,0.0,0.0,40851,male,0.99
Abbey,57,0.0,96.491,3.509,0.0,0.0,0.0,16048,female,0.9
Abbie,74,1.351,95.946,2.703,0.0,0.0,0.0,16641,female,0.99
Abby,262,1.527,94.656,1.527,2.29,0.0,0.0,56791,female,0.99
Abdul,221,0.452,44.344,6.787,47.511,0.452,0.452,236243,male,1.0
Abdullah,44,2.273,65.909,9.091,22.727,0.0,0.0,168754,male,0.99
Abe,31,6.452,77.419,12.903,3.226,0.0,0.0,14081,male,0.99
Abel,327,82.569,12.844,2.141,2.446,0.0,0.0,74796,male,1.0
Abelardo,76,78.947,9.211,0.0,11.842,0.0,0.0,8754,male,1.0
Abhijit,34,0.0,17.647,0.0,82.353,0.0,0.0,27626,male,1.0
Abhishek,18,0.0,0.0,0.0,100.0,0.0,0.0,157218,male,1.0
Abigail,418,12.201,81.579,1.435,4.785,0.0,0.0,95999,female,1.0
Abner,41,39.024,34.146,12.195,14.634,0.0,0.0,11025,male,1.0
Abraham,413,30.751,47.7,7.748,12.349,1.453,0.0,79626,male,1.0
Abram,43,9.302,81.395,6.977,2.326,0.0,0.0,4729,male,1.0
Ada,199,30.653,53.266,7.035,8.543,0.503,0.0,62892,female,0.93
Adalberto,69,94.203,5.797,0.0,0.0,0.0,0.0,18513,male,1.0
Adam,4725,1.989,96.148,0.635,1.016,0.085,0.127,554061,male,1.0
Adan,146,91.781,5.479,2.055,0.685,0.0,0.0,18037,male,0.99
Addie,49,2.041,67.347,26.531,2.041,2.041,0.0,5438,female,0.97
Adel,77,9.091,71.429,5.195,14.286,0.0,0.0,27613,male,0.94
Adela,122,63.115,28.689,0.0,8.197,0.0,0.0,31015,female,0.99
Adelaida,44,52.273,13.636,0.0,34.091,0.0,0.0,5637,female,1.0
Adelaide,41,12.195,75.61,12.195,0.0,0.0,0.0,12530,female,0.99
Adele,193,0.518,93.782,2.591,2.591,0.0,0.518,36211,female,0.99
Adelina,62,62.903,25.806,1.613,8.065,1.613,0.0,17693,female,0.99
Adeline,66,10.606,65.152,7.576,15.152,0.0,1.515,43016,female,0.99
Adina,55,3.636,89.091,5.455,1.818,0.0,0.0,16547,female,0.99
Admir,15,0.0,100.0,0.0,0.0,0.0,0.0,4600,male,0.99
Adnan,66,0.0,66.667,1.515,30.303,1.515,0.0,82678,male,0.99
Adolfo,179,87.151,10.056,0.559,2.235,0.0,0.0,48618,male,1.0
Adolph,44,11.364,72.727,15.909,0.0,0.0,0.0,2028,male,1.0
Adria,40,10.0,90.0,0.0,0.0,0.0,0.0,6612,female,0.85
Adrian,865,36.301,49.249,11.098,2.659,0.347,0.347,101812,male,0.99
Adriana,489,62.372,35.992,0.818,0.613,0.204,0.0,368698,female,1.0
Adriane,58,6.897,75.862,15.517,1.724,0.0,0.0,965,female,0.93
Adrianna,30,43.333,50.0,3.333,3.333,0.0,0.0,18338,female,0.99
Adrianne,95,3.158,89.474,6.316,1.053,0.0,0.0,8076,female,0.99
Adrienne,644,2.019,83.385,12.733,1.553,0.155,0.155,41838,female,1.0
Afshin,37,0.0,83.784,0.0,13.514,0.0,2.703,7745,male,1.0
Agata,48,2.083,97.917,0.0,0.0,0.0,0.0,70287,female,0.99
Agatha,36,2.778,61.111,16.667,16.667,2.778,0.0,13173,female,1.0
Agnes,352,3.125,67.898,10.795,17.614,0.568,0.0,84475,female,1.0
Agnieszka,104,1.923,96.154,0.962,0.962,0.0,0.0,177360,female,0.99
Agustin,239,89.958,5.858,0.418,3.766,0.0,0.0,52153,male,1.0
Ahmad,163,0.613,67.485,3.681,26.38,1.227,0.613,273848,male,1.0
Ahmed,176,1.136,65.341,8.523,22.727,0.0,2.273,604266,male,0.99
Ahmet,32,6.25,90.625,0.0,3.125,0.0,0.0,288615,male,0.98
Ai,31,3.226,9.677,0.0,87.097,0.0,0.0,2594,female,0.8
Aida,214,45.794,37.85,0.935,15.421,0.0,0.0,65404,female,1.0
Aileen,186,9.14,65.591,2.151,22.581,0.0,0.538,30319,female,1.0
Aimee,611,2.782,93.453,0.327,3.11,0.164,0.164,48382,female,1.0
Aisha,72,5.556,25.0,59.722,9.722,0.0,0.0,42277,female,1.0
Ajay,154,0.649,25.325,0.649,70.779,1.948,0.649,144330,male,1.0
Ajit,68,1.471,20.588,0.0,77.941,0.0,0.0,36225,male,1.0
Akbar,31,0.0,48.387,0.0,51.613,0.0,0.0,21511,male,1.0
Akiko,33,3.03,27.273,3.03,66.667,0.0,0.0,7734,female,0.99
Al,92,5.435,73.913,10.87,8.696,1.087,0.0,145696,male,0.98
Alain,114,14.035,66.667,10.526,7.895,0.0,0.877,212454,male,1.0
Alaina,55,1.818,94.545,1.818,1.818,0.0,0.0,8017,female,1.0
Alan,4795,1.502,92.471,1.064,4.797,0.104,0.063,385873,male,1.0
Alana,153,5.229,84.967,8.497,1.307,0.0,0.0,34803,female,1.0
Alane,22,0.0,100.0,0.0,0.0,0.0,0.0,2679,female,0.93
Alanna,53,0.0,96.226,0.0,1.887,1.887,0.0,11005,female,1.0
Alastair,18,0.0,100.0,0.0,0.0,0.0,0.0,13155,male,1.0
Alba,113,82.301,16.814,0.0,0.885,0.0,0.0,93926,female,0.99
Albert,2425,9.526,75.093,7.464,7.546,0.206,0.165,206600,male,1.0
Alberta,132,7.576,62.879,27.273,2.273,0.0,0.0,8557,female,0.99
Alberto,674,81.306,11.128,0.445,6.825,0.297,0.0,421331,male,1.0
Alden,38,7.895,78.947,2.632,10.526,0.0,0.0,586,male,0.95
Aldo,114,58.772,37.719,0.0,3.509,0.0,0.0,84529,male,1.0
Alec,109,0.0,89.908,1.835,8.257,0.0,0.0,29993,male,0.97
Alecia,89,2.247,78.652,16.854,0.0,2.247,0.0,7145,female,1.0
Alejandra,183,87.978,8.743,0.0,3.279,0.0,0.0,193700,female,1.0
Alejandro,821,90.134,6.943,0.122,2.801,0.0,0.0,386853,male,1.0
Aleksandar,30,0.0,100.0,0.0,0.0,0.0,0.0,40897,male,1.0
Aleksander,33,0.0,96.97,0.0,0.0,0.0,3.03,20934,male,1.0
Aleksandr,185,0.541,98.378,0.0,1.081,0.0,0.0,32509,male,1.0
Aleksandra,47,0.0,100.0,0.0,0.0,0.0,0.0,120381,female,0.99
Aleksey,53,0.0,96.226,0.0,3.774,0.0,0.0,3532,male,0.99
Alen,31,3.226,90.323,0.0,6.452,0.0,0.0,15572,male,0.98
Alena,58,1.724,86.207,8.621,3.448,0.0,0.0,63237,female,0.99
Alene,31,0.0,87.097,6.452,3.226,0.0,3.226,1598,female,0.99
Alesha,36,2.778,80.556,16.667,0.0,0.0,0.0,4022,female,0.98
Alesia,49,6.122,61.224,32.653,0.0,0.0,0.0,5008,female,1.0
Alessandra,34,8.824,91.176,0.0,0.0,0.0,0.0,184421,female,1.0
Alessandro,46,4.348,89.13,2.174,4.348,0.0,0.0,316268,male,1.0
Aleta,49,2.041,89.796,8.163,0.0,0.0,0.0,2574,female,1.0
Alex,1371,18.964,64.406,3.136,12.983,0.219,0.292,1114390,male,0.96
Alexa,78,2.564,94.872,2.564,0.0,0.0,0.0,47888,female,0.99
Alexander,2247,8.678,81.531,2.759,6.631,0.134,0.267,444831,male,1.0
Alexandr,18,0.0,100.0,0.0,0.0,0.0,0.0,7890,male,0.99
Alexandra,504,10.714,85.516,1.19,1.984,0.198,0.397,419717,female,0.99
Alexandre,80,10.0,83.75,2.5,3.75,0.0,0.0,67286,male,0.99
Alexandria,92,7.609,84.783,2.174,4.348,1.087,0.0,25658,female,1.0
Alexandru,31,6.452,93.548,0.0,0.0,0.0,0.0,40192,male,0.99
Alexei,30,0.0,100.0,0.0,0.0,0.0,0.0,2028,male,0.99
Alexey,21,0.0,100.0,0.0,0.0,0.0,0.0,9085,male,1.0
Alexia,38,0.0,86.842,10.526,2.632,0.0,0.0,56341,female,0.99
Alexis,452,14.159,77.655,5.088,2.876,0.0,0.221,42300,male,0.82
Alf,15,0.0,100.0,0.0,0.0,0.0,0.0,12092,male,0.99
Alfonso,482,78.216,13.071,3.942,4.564,0.0,0.207,121190,male,1.0
Alfred,1237,10.186,75.829,9.054,4.689,0.081,0.162,83752,male,1.0
Alfreda,35,2.857,22.857,71.429,2.857,0.0,0.0,2714,female,1.0
Alfredo,687,80.64,10.771,0.728,7.86,0.0,0.0,166770,male,1.0
Ali,514,1.946,72.763,4.28,19.455,0.973,0.584,331601,male,0.94
Alia,30,6.667,73.333,3.333,16.667,0.0,0.0,16896,female,0.98
Alice,1923,4.888,80.135,6.292,8.164,0.208,0.312,277052,female,1.0
Alicia,1719,24.375,66.667,5.934,2.734,0.116,0.175,251174,female,1.0
Alicja,31,0.0,100.0,0.0,0.0,0.0,0.0,32832,female,0.99
Alida,34,23.529,73.529,2.941,0.0,0.0,0.0,11093,female,0.99
Alina,137,21.168,72.993,2.19,3.65,0.0,0.0,123268,female,0.99
Aline,58,1.724,81.034,10.345,6.897,0.0,0.0,168899,female,1.0
Alireza,73,1.37,93.151,0.0,5.479,0.0,0.0,44495,male,1.0
Alisa,338,2.071,86.686,7.396,3.846,0.0,0.0,34859,female,0.99
Alisha,213,3.286,84.977,10.329,0.469,0.469,0.469,37680,female,1.0
Alison,1403,0.784,96.294,1.283,1.568,0.0,0.071,167928,female,1.0
Alissa,224,1.339,95.536,1.786,0.893,0.446,0.0,18291,female,1.0
Alistair,26,0.0,100.0,0.0,0.0,0.0,0.0,17865,male,1.0
Alix,37,5.405,75.676,13.514,2.703,0.0,2.703,4214,female,0.61
Aliza,33,6.061,81.818,9.091,0.0,3.03,0.0,5172,female,1.0
Alka,36,0.0,16.667,0.0,80.556,2.778,0.0,11509,female,0.99
Alla,126,0.794,99.206,0.0,0.0,0.0,0.0,7302,female,0.87
Allan,1113,2.066,88.23,1.887,7.457,0.09,0.27,141449,male,1.0
Allen,1912,1.046,88.755,4.498,5.178,0.052,0.471,104118,male,1.0
Allene,31,0.0,70.968,22.581,6.452,0.0,0.0,908,female,1.0
Allison,1774,0.62,95.378,1.917,1.917,0.0,0.169,137625,female,1.0
Allyn,57,5.263,91.228,3.509,0.0,0.0,0.0,317,male,0.53
Allyson,255,0.0,96.078,3.137,0.784,0.0,0.0,20921,female,1.0
Alma,611,56.137,31.588,7.201,5.074,0.0,0.0,81494,female,0.99
Alok,36,0.0,22.222,2.778,72.222,2.778,0.0,36034,male,1.0
Alon,33,0.0,90.909,3.03,6.061,0.0,0.0,1052,male,0.97
Alonso,51,82.353,13.725,1.961,1.961,0.0,0.0,26980,male,0.99
Alonzo,81,18.519,34.568,44.444,2.469,0.0,0.0,7843,male,1.0
Alphonse,49,2.041,83.673,14.286,0.0,0.0,0.0,8508,male,0.99
Alphonso,56,7.143,14.286,76.786,1.786,0.0,0.0,3212,male,1.0
Alta,47,0.0,91.489,6.383,2.128,0.0,0.0,4132,female,0.97
Altagracia,43,90.698,6.977,0.0,2.326,0.0,0.0,2651,female,1.0
Althea,77,2.597,41.558,50.649,5.195,0.0,0.0,8274,female,1.0
Alton,127,0.787,74.016,22.047,2.362,0.787,0.0,6493,male,1.0
Alva,71,25.352,53.521,15.493,5.634,0.0,0.0,564,female,0.67
Alvaro,272,87.132,12.5,0.0,0.368,0.0,0.0,151655,male,1.0
Alvin,595,3.866,62.353,21.008,12.773,0.0,0.0,61084,male,1.0
Alyce,103,1.942,90.291,6.796,0.971,0.0,0.0,4342,female,1.0
Alycia,51,3.922,88.235,7.843,0.0,0.0,0.0,5525,female,1.0
Alyse,25,0.0,100.0,0.0,0.0,0.0,0.0,3178,female,1.0
Alysia,33,0.0,100.0,0.0,0.0,0.0,0.0,4152,female,1.0
Alyson,193,1.036,96.373,1.554,1.036,0.0,0.0,17408,female,0.99
Alyssa,321,4.673,91.9,0.312,2.804,0.0,0.312,94787,female,1.0
Amado,64,68.75,4.688,0.0,26.563,0.0,0.0,6915,male,1.0
Amador,35,80.0,5.714,0.0,14.286,0.0,0.0,6206,male,0.99
Amal,52,0.0,67.308,7.692,25.0,0.0,0.0,17247,female,0.94
Amalia,111,57.658,34.234,0.0,7.207,0.901,0.0,35398,female,1.0
Amanda,4395,3.14,94.312,1.206,0.933,0.205,0.205,606914,female,1.0
Amar,43,2.326,46.512,2.326,48.837,0.0,0.0,10563,male,0.93
Amarjit,45,2.222,15.556,0.0,82.222,0.0,0.0,254,male,0.9
Amber,1557,1.863,95.055,1.991,0.771,0.193,0.128,175658,female,1.0
Amelia,439,22.096,61.731,5.467,10.706,0.0,0.0,72458,female,1.0
Amer,33,0.0,66.667,0.0,33.333,0.0,0.0,6988,male,0.97
Ami,115,0.87,81.739,4.348,13.043,0.0,0.0,5927,female,0.69
Amie,220,1.364,92.727,3.636,2.273,0.0,0.0,18659,female,0.99
Amin,52,5.769,59.615,7.692,25.0,1.923,0.0,63401,male,0.99
Amina,30,0.0,46.667,26.667,26.667,0.0,0.0,62521,female,0.99
Amir,209,1.914,75.598,2.392,18.182,0.478,1.435,151290,male,1.0
Amit,233,0.0,24.893,0.429,73.82,0.858,0.0,16682,male,0.99
Amita,46,0.0,26.087,0.0,67.391,6.522,0.0,8956,female,1.0
Amos,103,7.767,65.049,22.33,4.854,0.0,0.0,23953,male,1.0
Amparo,87,86.207,8.046,0.0,5.747,0.0,0.0,33736,female,0.99
Amy,9775,0.992,95.56,0.358,2.844,0.143,0.102,480005,female,1.0
An,111,0.0,3.604,0.0,96.396,0.0,0.0,5709,female,0.6
Ana,1656,73.249,23.43,0.906,2.295,0.0,0.121,1436996,female,1.0
Anabel,49,83.673,12.245,0.0,4.082,0.0,0.0,29714,female,1.0
Anand,137,0.73,21.898,0.0,74.453,2.92,0.0,91115,male,1.0
Anastasia,157,0.637,94.904,2.548,1.274,0.0,0.637,84049,female,0.99
Anatoliy,84,0.0,100.0,0.0,0.0,0.0,0.0,6027,male,1.0
Anatoly,42,0.0,97.619,0.0,2.381,0.0,0.0,6708,male,1.0
Anca,19,0.0,100.0,0.0,0.0,0.0,0.0,10079,female,0.96
Anders,53,0.0,98.113,0.0,1.887,0.0,0.0,85808,male,1.0
Anderson,47,19.149,31.915,34.043,14.894,0.0,0.0,8246,male,0.97
Andra,68,0.0,89.706,8.824,0.0,1.471,0.0,8856,female,0.88
Andre,599,5.509,56.928,33.723,3.339,0.167,0.334,267082,male,0.99
Andrea,4215,4.27,89.751,4.911,0.807,0.214,0.047,1058881,female,0.82
Andreas,164,0.61,95.732,1.829,1.829,0.0,0.0,258472,male,1.0
Andrei,78,2.564,92.308,2.564,2.564,0.0,0.0,73727,male,0.99
Andres,482,83.817,12.656,0.415,2.905,0.207,0.0,218384,male,1.0
Andrew,10945,1.882,93.212,1.69,3.07,0.11,0.037,766466,male,1.0
Andrey,114,0.877,97.368,0.0,1.754,0.0,0.0,18881,male,0.99
Andria,60,3.333,80.0,11.667,5.0,0.0,0.0,8689,female,0.97
Andriy,34,0.0,100.0,0.0,0.0,0.0,0.0,9403,male,1.0
Andrzej,177,0.0,100.0,0.0,0.0,0.0,0.0,84197,male,1.0
Andy,555,6.306,52.793,1.622,38.559,0.721,0.0,357989,male,0.98
Aneta,49,0.0,100.0,0.0,0.0,0.0,0.0,71882,female,0.99
Angel,888,69.144,22.635,3.716,4.279,0.225,0.0,110827,male,0.69
Angela,6432,4.851,85.619,7.167,1.975,0.187,0.202,623359,female,1.0
Angelia,100,4.0,74.0,20.0,1.0,0.0,1.0,20148,female,1.0
Angelica,453,71.302,24.724,0.442,3.311,0.221,0.0,130823,female,1.0
Angelika,46,0.0,91.304,0.0,8.696,0.0,0.0,52335,female,0.99
Angelina,292,34.247,50.342,3.425,10.959,0.685,0.342,65656,female,1.0
Angeline,101,0.99,79.208,3.96,15.842,0.0,0.0,18690,female,1.0
Angelique,139,5.036,77.698,15.108,2.158,0.0,0.0,54711,female,0.99
Angelita,86,39.535,16.279,4.651,38.372,0.0,1.163,11618,female,1.0
Angelo,486,10.494,84.774,3.086,1.44,0.206,0.0,185953,male,0.99
Angie,379,10.29,77.573,2.639,9.499,0.0,0.0,163660,female,1.0
Angus,43,0.0,95.349,0.0,4.651,0.0,0.0,16317,male,0.99
Anh,184,0.543,4.348,0.0,95.109,0.0,0.0,1565,male,0.6
Ani,44,2.273,81.818,4.545,11.364,0.0,0.0,30208,female,0.96
Anibal,54,88.889,11.111,0.0,0.0,0.0,0.0,22820,male,1.0
Anil,215,0.93,18.14,0.93,79.535,0.0,0.465,155039,male,1.0
Anila,30,0.0,46.667,0.0,50.0,3.333,0.0,6061,female,1.0
Anissa,49,2.041,79.592,16.327,2.041,0.0,0.0,18242,female,0.99
Anita,2003,6.64,76.835,7.738,8.288,0.399,0.1,286635,female,1.0
Anja,35,2.857,91.429,5.714,0.0,0.0,0.0,85352,female,0.99
Anjali,51,0.0,23.529,0.0,76.471,0.0,0.0,41527,female,1.0
Anjana,33,0.0,24.242,0.0,75.758,0.0,0.0,12243,female,1.0
Anjanette,34,5.882,67.647,26.471,0.0,0.0,0.0,1530,female,1.0
Anju,33,0.0,15.152,0.0,81.818,3.03,0.0,18820,female,1.0
Ankur,33,3.03,12.121,3.03,81.818,0.0,0.0,36864,male,1.0
Ann,5151,0.912,94.855,1.573,2.446,0.097,0.116,293185,female,1.0
Anna,3347,7.439,84.762,2.211,5.378,0.09,0.12,1149231,female,0.99
Annabel,32,21.875,59.375,9.375,9.375,0.0,0.0,14862,female,1.0
Annabelle,70,5.714,70.0,1.429,21.429,0.0,1.429,24889,female,0.99
Annalisa,38,0.0,94.737,2.632,2.632,0.0,0.0,34165,female,1.0
Annamaria,37,16.216,81.081,0.0,2.703,0.0,0.0,25060,female,1.0
Annamarie,68,10.294,86.765,0.0,1.471,1.471,0.0,4630,female,1.0
Anne,4239,0.731,96.037,0.896,2.147,0.142,0.047,481613,female,1.0
Anneliese,32,3.125,96.875,0.0,0.0,0.0,0.0,4418,female,0.99
Annemarie,164,0.0,97.561,1.829,0.61,0.0,0.0,27484,female,1.0
Annetta,48,2.083,75.0,18.75,2.083,2.083,0.0,2539,female,1.0
Annette,1679,6.135,82.37,9.708,1.549,0.179,0.06,125535,female,1.0
Annie,654,3.517,44.954,30.887,20.031,0.153,0.459,173108,female,1.0
Annmarie,188,1.596,94.681,3.191,0.532,0.0,0.0,11459,female,1.0
Anselmo,45,71.111,22.222,0.0,6.667,0.0,0.0,12770,male,1.0
Anson,36,0.0,58.333,2.778,38.889,0.0,0.0,6614,male,1.0
Anthony,10335,5.099,84.161,7.199,3.154,0.174,0.213,600500,male,1.0
Antje,19,0.0,100.0,0.0,0.0,0.0,0.0,14519,female,0.99
Antoine,104,2.885,53.846,40.385,2.885,0.0,0.0,122162,male,1.0
Antoinette,505,5.941,76.238,15.446,1.584,0.198,0.594,33112,female,1.0
Anton,184,1.087,89.13,5.978,3.261,0.543,0.0,115190,male,0.99
Antonella,36,0.0,97.222,0.0,0.0,2.778,0.0,105806,female,1.0
Antonette,44,6.818,81.818,9.091,2.273,0.0,0.0,4242,female,1.0
Antonia,273,47.253,42.491,5.495,3.663,0.733,0.366,20764,female,0.98
Antonietta,34,2.941,94.118,0.0,2.941,0.0,0.0,14044,female,1.0
Antonina,37,5.405,81.081,0.0,13.514,0.0,0.0,8315,female,0.99
Antonino,43,27.907,69.767,0.0,2.326,0.0,0.0,30066,male,1.0
Antonio,1965,56.336,31.603,5.242,6.616,0.0,0.204,970747,male,1.0
Antony,96,1.042,77.083,4.167,16.667,1.042,0.0,59402,male,1.0
Anup,34,0.0,17.647,0.0,82.353,0.0,0.0,24756,male,1.0
Anuradha,60,0.0,10.0,0.0,90.0,0.0,0.0,17470,female,1.0
Anwar,37,0.0,40.541,10.811,45.946,0.0,2.703,6861,male,0.95
Aparna,44,0.0,22.727,0.0,77.273,0.0,0.0,22520,female,1.0
April,1662,2.708,88.448,6.739,1.685,0.301,0.12,128601,female,1.0
Ara,58,0.0,94.828,1.724,3.448,0.0,0.0,2829,female,0.67
Araceli,191,84.817,8.901,0.0,5.759,0.524,0.0,36806,female,1.0
Aracely,49,93.878,6.122,0.0,0.0,0.0,0.0,11517,female,1.0
Aram,38,2.632,94.737,0.0,2.632,0.0,0.0,9811,male,0.96
Arash,33,3.03,75.758,0.0,18.182,0.0,3.03,22957,male,1.0
Arcelia,40,87.5,12.5,0.0,0.0,0.0,0.0,2276,female,1.0
Archana,50,0.0,16.0,0.0,82.0,2.0,0.0,38162,female,1.0
Archie,134,2.239,63.433,29.104,2.985,0.0,2.239,2174,male,0.95
Arden,52,0.0,84.615,13.462,1.923,0.0,0.0,352,male,0.83
Ardis,31,0.0,96.774,3.226,0.0,0.0,0.0,114,female,0.65
Ari,72,2.778,91.667,0.0,5.556,0.0,0.0,11812,male,0.69
Ariana,45,33.333,60.0,0.0,4.444,0.0,2.222,37802,female,1.0
Arianne,32,6.25,87.5,6.25,0.0,0.0,0.0,8949,female,1.0
Aric,56,3.571,92.857,1.786,1.786,0.0,0.0,3220,male,1.0
Arie,31,3.226,87.097,6.452,3.226,0.0,0.0,3809,male,0.89
Ariel,186,40.86,45.699,2.151,11.29,0.0,0.0,14247,male,0.71
Arif,36,2.778,30.556,0.0,66.667,0.0,0.0,76005,male,0.99
Arkadiusz,27,0.0,100.0,0.0,0.0,0.0,0.0,23969,male,1.0
Arkady,23,0.0,100.0,0.0,0.0,0.0,0.0,1674,male,1.0
Arla,16,0.0,100.0,0.0,0.0,0.0,0.0,1021,female,0.99
Arleen,98,2.041,85.714,6.122,6.122,0.0,0.0,4751,female,1.0
Arlen,46,2.174,97.826,0.0,0.0,0.0,0.0,472,male,0.66
Arlene,878,4.67,84.852,5.581,4.67,0.228,0.0,52347,female,1.0
Arlette,30,10.0,66.667,16.667,6.667,0.0,0.0,15235,female,0.99
Arlie,20,0.0,100.0,0.0,0.0,0.0,0.0,128,male,0.62
Arline,43,4.651,86.047,2.326,6.977,0.0,0.0,2495,female,1.0
Arlyn,34,5.882,79.412,2.941,11.765,0.0,0.0,637,female,0.91
Armand,77,3.896,85.714,1.299,9.091,0.0,0.0,25610,male,0.99
Armando,803,84.06,9.838,0.249,5.729,0.125,0.0,130474,male,1.0
Armen,87,2.299,94.253,0.0,3.448,0.0,0.0,8657,male,0.99
Armida,42,76.19,21.429,0.0,2.381,0.0,0.0,2902,female,1.0
Armin,31,0.0,93.548,0.0,6.452,0.0,0.0,27136,male,0.99
Arnaldo,37,67.568,18.919,0.0,13.514,0.0,0.0,26033,male,1.0
Arne,42,0.0,92.857,7.143,0.0,0.0,0.0,28629,male,1.0
Arnel,37,2.703,16.216,0.0,81.081,0.0,0.0,1868,male,0.99
Arno,20,0.0,100.0,0.0,0.0,0.0,0.0,23398,male,1.0
Arnold,615,7.48,78.211,7.317,6.992,0.0,0.0,58871,male,1.0
Arnoldo,55,94.545,5.455,0.0,0.0,0.0,0.0,6553,male,1.0
Arnulfo,98,89.796,2.041,0.0,8.163,0.0,0.0,6851,male,1.0
Aron,87,4.598,91.954,1.149,2.299,0.0,0.0,19162,male,0.99
Arsen,19,0.0,100.0,0.0,0.0,0.0,0.0,5612,male,1.0
Arsenio,37,35.135,32.432,2.703,29.73,0.0,0.0,5449,male,1.0
Art,84,16.667,67.857,4.762,10.714,0.0,0.0,50114,male,0.99
Artemio,54,75.926,1.852,0.0,22.222,0.0,0.0,4144,male,1.0
Arthur,2902,6.168,83.115,7.099,3.377,0.103,0.138,159232,male,1.0
Arti,35,5.714,31.429,2.857,60.0,0.0,0.0,13210,female,0.94
Artur,71,2.817,95.775,0.0,0.0,1.408,0.0,98630,male,1.0
Arturo,715,87.133,7.972,0.0,4.755,0.0,0.14,121937,male,1.0
Arun,131,0.763,25.954,0.763,71.756,0.763,0.0,138072,male,1.0
Aruna,42,0.0,23.81,0.0,73.81,2.381,0.0,17223,female,0.98
Arvin,36,13.889,61.111,0.0,25.0,0.0,0.0,11089,male,1.0
Arvind,73,0.0,27.397,0.0,69.863,2.74,0.0,52075,male,1.0
Asa,36,2.778,86.111,11.111,0.0,0.0,0.0,1935,male,0.64
Asha,82,0.0,19.512,8.537,71.951,0.0,0.0,32571,female,1.0
Ashish,118,0.0,15.254,0.0,84.746,0.0,0.0,137843,male,1.0
Ashlee,114,0.877,97.368,1.754,0.0,0.0,0.0,20291,female,1.0
Ashleigh,88,1.136,96.591,2.273,0.0,0.0,0.0,29989,female,1.0
Ashley,2333,1.629,93.699,3.601,0.986,0.086,0.0,389780,female,0.99
Ashlie,38,7.895,92.105,0.0,0.0,0.0,0.0,4577,female,1.0
Ashok,169,0.592,18.343,0.0,79.29,1.183,0.592,100719,male,1.0
Ashraf,55,0.0,81.818,0.0,18.182,0.0,0.0,48359,male,1.0
Ashton,34,0.0,82.353,14.706,0.0,2.941,0.0,1434,male,0.7
Ashwin,38,2.632,34.211,0.0,60.526,0.0,2.632,26685,male,1.0
Asif,39,2.564,33.333,0.0,64.103,0.0,0.0,53090,male,1.0
Asim,31,0.0,41.935,0.0,54.839,3.226,0.0,24185,male,1.0
Asma,33,0.0,36.364,3.03,57.576,3.03,0.0,46513,female,0.99
Astrid,60,16.667,75.0,1.667,6.667,0.0,0.0,75605,female,1.0
Athanasios,38,0.0,100.0,0.0,0.0,0.0,0.0,6427,male,1.0
Athena,102,6.863,85.294,3.922,3.922,0.0,0.0,13671,female,0.99
Atul,65,0.0,15.385,0.0,84.615,0.0,0.0,51081,male,1.0
Aubrey,196,1.531,84.184,10.714,3.061,0.51,0.0,2356,female,0.55
Audra,190,4.737,87.895,6.842,0.0,0.526,0.0,11518,female,1.0
Audrey,1008,1.786,84.722,10.714,2.381,0.298,0.099,183702,female,0.99
August,132,2.273,96.212,0.0,1.515,0.0,0.0,1813,male,0.89
Augustin,33,48.485,33.333,12.121,6.061,0.0,0.0,12842,male,0.99
Augustine,88,26.136,36.364,23.864,13.636,0.0,0.0,2552,male,0.74
Augusto,70,55.714,21.429,1.429,21.429,0.0,0.0,58029,male,1.0
Augustus,37,0.0,72.973,21.622,5.405,0.0,0.0,3735,male,1.0
Aura,61,65.574,27.869,1.639,4.918,0.0,0.0,23739,female,0.99
Aurea,32,62.5,6.25,0.0,31.25,0.0,0.0,8338,female,1.0
Aurelia,69,44.928,46.377,4.348,4.348,0.0,0.0,18466,female,0.99
Aurelio,111,81.081,13.514,0.0,5.405,0.0,0.0,21756,male,1.0
Aurora,204,50.98,25.98,2.451,20.588,0.0,0.0,56590,female,1.0
Austin,394,0.254,89.086,5.076,5.076,0.0,0.508,107058,male,1.0
Autumn,164,1.22,95.732,1.829,1.22,0.0,0.0,24148,female,1.0
Ava,110,3.636,69.091,19.091,6.364,0.0,1.818,19957,female,0.99
Avelino,32,53.125,9.375,0.0,37.5,0.0,0.0,6814,male,1.0
Avery,87,0.0,73.563,24.138,2.299,0.0,0.0,1062,male,0.53
Avi,37,5.405,91.892,0.0,2.703,0.0,0.0,2921,male,0.91
Avis,48,0.0,66.667,33.333,0.0,0.0,0.0,435,female,0.67
Aviva,34,0.0,100.0,0.0,0.0,0.0,0.0,3180,female,0.99
Axel,33,24.242,66.667,9.091,0.0,0.0,0.0,73725,male,0.99
Ayanna,15,0.0,0.0,100.0,0.0,0.0,0.0,4104,female,1.0
Aziz,44,2.273,68.182,6.818,22.727,0.0,0.0,86805,male,0.99
Azucena,42,80.952,9.524,0.0,9.524,0.0,0.0,13833,female,1.0
Ba,18,0.0,0.0,0.0,100.0,0.0,0.0,4452,female,0.62
Babak,34,0.0,91.176,2.941,5.882,0.0,0.0,13372,male,1.0
