firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,count_web,gender,prob
Sierra,42,2.381,90.476,2.381,2.381,0.0,2.381,25273,female,0.99
Signe,22,0.0,100.0,0.0,0.0,0.0,0.0,8597,female,0.99
Sigrid,58,3.448,94.828,1.724,0.0,0.0,0.0,15533,female,1.0
Silas,55,7.273,65.455,18.182,5.455,3.636,0.0,17363,male,1.0
Silvana,63,15.873,76.19,0.0,7.937,0.0,0.0,91983,female,1.0
Silvia,557,73.609,23.698,1.257,1.077,0.359,0.0,430262,female,1.0
Silvio,48,45.833,52.083,0.0,0.0,0.0,2.083,66244,male,1.0
Sima,40,0.0,80.0,0.0,17.5,2.5,0.0,13357,female,0.96
Simeon,39,5.128,51.282,28.205,15.385,0.0,0.0,11517,male,1.0
Simon,558,9.857,65.591,3.584,20.789,0.0,0.179,388188,male,1.0
Simona,40,22.5,60.0,7.5,5.0,2.5,2.5,137998,female,0.99
Simone,155,6.452,68.387,19.355,3.871,0.0,1.935,285947,female,0.77
Siobhan,95,0.0,93.684,4.211,2.105,0.0,0.0,20332,female,1.0
Siu,34,0.0,2.941,0.0,97.059,0.0,0.0,546,male,0.59
Sivakumar,37,0.0,13.514,0.0,83.784,0.0,2.703,630,male,0.99
Sky,19,0.0,100.0,0.0,0.0,0.0,0.0,5977,male,0.72
Skye,36,5.556,88.889,0.0,2.778,2.778,0.0,670,female,0.82
Skylar,17,0.0,100.0,0.0,0.0,0.0,0.0,300,female,0.63
Skyler,25,0.0,100.0,0.0,0.0,0.0,0.0,416,male,0.76
Slavica,15,0.0,100.0,0.0,0.0,0.0,0.0,7239,female,0.99
Slawomir,53,0.0,100.0,0.0,0.0,0.0,0.0,2084,male,0.99
Sloane,17,0.0,100.0,0.0,0.0,0.0,0.0,202,female,0.8
Slobodan,20,0.0,100.0,0.0,0.0,0.0,0.0,3145,male,0.99
Smita,53,1.887,16.981,0.0,81.132,0.0,0.0,19669,female,1.0
Snezana,21,0.0,100.0,0.0,0.0,0.0,0.0,8970,female,0.99
So,27,0.0,0.0,0.0,100.0,0.0,0.0,16685,female,0.88
Socorro,170,78.824,12.353,0.0,8.235,0.588,0.0,551,female,0.93
Sofia,188,48.936,41.489,1.064,7.979,0.0,0.532,193534,female,0.99
Sohail,45,0.0,22.222,0.0,75.556,0.0,2.222,22249,male,1.0
Sok,16,0.0,0.0,0.0,100.0,0.0,0.0,411,male,0.53
Soledad,64,73.438,6.25,1.563,18.75,0.0,0.0,36164,female,1.0
Solomon,116,2.586,35.345,44.828,15.517,1.724,0.0,39136,male,0.99
Sommer,30,6.667,93.333,0.0,0.0,0.0,0.0,3225,female,0.97
Son,179,1.117,2.793,0.0,95.531,0.0,0.559,3441,male,0.75
Sona,30,0.0,70.0,3.333,26.667,0.0,0.0,14635,female,0.97
Sonal,50,0.0,20.0,0.0,78.0,2.0,0.0,22152,female,1.0
Sondra,250,0.4,90.8,7.2,1.6,0.0,0.0,9260,female,1.0
Song,92,0.0,5.435,0.0,94.565,0.0,0.0,2239,male,0.67
Sonia,873,46.048,36.655,7.675,9.393,0.115,0.115,393644,female,0.99
Sonja,407,1.229,85.995,11.057,1.229,0.246,0.246,82404,female,0.99
Sonny,104,5.769,39.423,3.846,50.962,0.0,0.0,6807,male,0.93
Sonya,494,6.478,71.862,18.219,2.632,0.0,0.81,46590,female,1.0
Soo,83,1.205,3.614,0.0,93.976,0.0,1.205,2906,female,0.6
Sook,38,0.0,2.632,0.0,97.368,0.0,0.0,2315,female,0.98
Soon,103,0.0,2.913,0.0,97.087,0.0,0.0,1428,male,0.75
